mid,value,ts
166928,480000,2013-01-01D00:59:59.000000000
166928,500000,2013-01-01D01:59:59.000000000
166928,540000,2013-01-01D02:59:59.000000000
166928,380000,2013-01-01D03:59:59.000000000
166928,480000,2013-01-01D04:59:59.000000000
166928,280000,2013-01-01D05:59:59.000000000
166928,240000,2013-01-01D06:59:59.000000000
166928,280000,2013-01-01D07:59:59.000000000
166928,260000,2013-01-01D08:59:59.000000000
166928,240000,2013-01-01D09:59:59.000000000
166928,460000,2013-01-01D10:59:59.000000000
166928,510000,2013-01-01D11:59:59.000000000
166928,540000,2013-01-01D12:59:59.000000000
166928,520000,2013-01-01D13:59:59.000000000
166928,450000,2013-01-01D14:59:59.000000000
166928,370000,2013-01-01D15:59:59.000000000
166928,340000,2013-01-01D16:59:59.000000000
166928,900000,2013-01-01D17:59:59.000000000
166928,950000,2013-01-01D18:59:59.000000000
166928,820000,2013-01-01D19:59:59.000000000
166928,990000,2013-01-01D20:59:59.000000000
166928,1030000,2013-01-01D21:59:59.000000000
166928,970000,2013-01-01D22:59:59.000000000
166928,470000,2013-01-01D23:59:59.000000000
166928,430000,2013-01-02D00:59:59.000000000
166928,260000,2013-01-02D01:59:59.000000000
166928,340000,2013-01-02D02:59:59.000000000
166928,450000,2013-01-02D03:59:59.000000000
166928,360000,2013-01-02D04:59:59.000000000
166928,350000,2013-01-02D05:59:59.000000000
166928,240000,2013-01-02D06:59:59.000000000
166928,270000,2013-01-02D07:59:59.000000000
166928,300000,2013-01-02D08:59:59.000000000
166928,250000,2013-01-02D09:59:59.000000000
166928,320000,2013-01-02D10:59:59.000000000
166928,440000,2013-01-02D11:59:59.000000000
166928,1920000,2013-01-02D12:59:59.000000000
166928,1710000,2013-01-02D13:59:59.000000000
166928,3790000,2013-01-02D14:59:59.000000000
166928,1320000,2013-01-02D15:59:59.000000000
166928,1760000,2013-01-02D16:59:59.000000000
166928,2710000,2013-01-02D17:59:59.000000000
166928,890000,2013-01-02D18:59:59.000000000
166928,1010000,2013-01-02D19:59:59.000000000
166928,1050000,2013-01-02D20:59:59.000000000
166928,1020000,2013-01-02D21:59:59.000000000
166928,510000,2013-01-02D22:59:59.000000000
166928,510000,2013-01-02D23:59:59.000000000
166928,450000,2013-01-03D00:59:59.000000000
166928,330000,2013-01-03D01:59:59.000000000
166928,280000,2013-01-03D02:59:59.000000000
166928,360000,2013-01-03D03:59:59.000000000
166928,270000,2013-01-03D04:59:59.000000000
166928,370000,2013-01-03D05:59:59.000000000
166928,280000,2013-01-03D06:59:59.000000000
166928,220000,2013-01-03D07:59:59.000000000
166928,550000,2013-01-03D08:59:59.000000000
166928,270000,2013-01-03D09:59:59.000000000
166928,310000,2013-01-03D10:59:59.000000000
166928,300000,2013-01-03D11:59:59.000000000
166928,210000,2013-01-03D12:59:59.000000000
166928,300000,2013-01-03D13:59:59.000000000
166928,270000,2013-01-03D14:59:59.000000000
166928,250000,2013-01-03D15:59:59.000000000
166928,530000,2013-01-03D16:59:59.000000000
166928,850000,2013-01-03D17:59:59.000000000
166928,1000000,2013-01-03D18:59:59.000000000
166928,1040000,2013-01-03D19:59:59.000000000
166928,980000,2013-01-03D20:59:59.000000000
166928,1030000,2013-01-03D21:59:59.000000000
166928,1030000,2013-01-03D22:59:59.000000000
166928,360000,2013-01-03D23:59:59.000000000
166928,350000,2013-01-04D00:59:59.000000000
166928,3340000,2013-01-04D01:59:59.000000000
166928,250000,2013-01-04D02:59:59.000000000
166928,300000,2013-01-04D03:59:59.000000000
166928,240000,2013-01-04D04:59:59.000000000
166928,220000,2013-01-04D05:59:59.000000000
166928,330000,2013-01-04D06:59:59.000000000
166928,250000,2013-01-04D07:59:59.000000000
166928,230000,2013-01-04D08:59:59.000000000
166928,460000,2013-01-04D09:59:59.000000000
166928,230000,2013-01-04D10:59:59.000000000
166928,250000,2013-01-04D11:59:59.000000000
166928,240000,2013-01-04D12:59:59.000000000
166928,420000,2013-01-04D13:59:59.000000000
166928,390000,2013-01-04D14:59:59.000000000
166928,370000,2013-01-04D15:59:59.000000000
166928,710000,2013-01-04D16:59:59.000000000
166928,670000,2013-01-04D17:59:59.000000000
166928,830000,2013-01-04D18:59:59.000000000
166928,1000000,2013-01-04D19:59:59.000000000
166928,950000,2013-01-04D20:59:59.000000000
166928,860000,2013-01-04D21:59:59.000000000
166928,1040000,2013-01-04D22:59:59.000000000
166928,1080000,2013-01-04D23:59:59.000000000
167672,340000,2013-01-01D00:59:59.000000000
167672,420000,2013-01-01D01:59:59.000000000
167672,350000,2013-01-01D02:59:59.000000000
167672,320000,2013-01-01D03:59:59.000000000
167672,290000,2013-01-01D04:59:59.000000000
167672,500000,2013-01-01D05:59:59.000000000
167672,430000,2013-01-01D06:59:59.000000000
167672,310000,2013-01-01D07:59:59.000000000
167672,270000,2013-01-01D08:59:59.000000000
167672,410000,2013-01-01D09:59:59.000000000
167672,830000,2013-01-01D10:59:59.000000000
167672,930000,2013-01-01D11:59:59.000000000
167672,560000,2013-01-01D12:59:59.000000000
167672,550000,2013-01-01D13:59:59.000000000
167672,490000,2013-01-01D14:59:59.000000000
167672,1770000,2013-01-01D15:59:59.000000000
167672,1590000,2013-01-01D16:59:59.000000000
167672,560000,2013-01-01D17:59:59.000000000
167672,600000,2013-01-01D18:59:59.000000000
167672,600000,2013-01-01D19:59:59.000000000
167672,590000,2013-01-01D20:59:59.000000000
167672,670000,2013-01-01D21:59:59.000000000
167672,560000,2013-01-01D22:59:59.000000000
167672,350000,2013-01-01D23:59:59.000000000
167672,260000,2013-01-02D00:59:59.000000000
167672,260000,2013-01-02D01:59:59.000000000
167672,320000,2013-01-02D02:59:59.000000000
167672,360000,2013-01-02D03:59:59.000000000
167672,350000,2013-01-02D04:59:59.000000000
167672,490000,2013-01-02D05:59:59.000000000
167672,450000,2013-01-02D06:59:59.000000000
167672,370000,2013-01-02D07:59:59.000000000
167672,250000,2013-01-02D08:59:59.000000000
167672,300000,2013-01-02D09:59:59.000000000
167672,350000,2013-01-02D10:59:59.000000000
167672,360000,2013-01-02D11:59:59.000000000
167672,300000,2013-01-02D12:59:59.000000000
167672,310000,2013-01-02D13:59:59.000000000
167672,310000,2013-01-02D14:59:59.000000000
167672,270000,2013-01-02D15:59:59.000000000
167672,450000,2013-01-02D16:59:59.000000000
167672,650000,2013-01-02D17:59:59.000000000
167672,1690000,2013-01-02D18:59:59.000000000
167672,1570000,2013-01-02D19:59:59.000000000
167672,1110000,2013-01-02D20:59:59.000000000
167672,920000,2013-01-02D21:59:59.000000000
167672,550000,2013-01-02D22:59:59.000000000
167672,290000,2013-01-02D23:59:59.000000000
167672,250000,2013-01-03D00:59:59.000000000
167672,280000,2013-01-03D01:59:59.000000000
167672,310000,2013-01-03D02:59:59.000000000
167672,320000,2013-01-03D03:59:59.000000000
167672,340000,2013-01-03D04:59:59.000000000
167672,450000,2013-01-03D05:59:59.000000000
167672,410000,2013-01-03D06:59:59.000000000
167672,340000,2013-01-03D07:59:59.000000000
167672,280000,2013-01-03D08:59:59.000000000
167672,300000,2013-01-03D09:59:59.000000000
167672,310000,2013-01-03D10:59:59.000000000
167672,330000,2013-01-03D11:59:59.000000000
167672,330000,2013-01-03D12:59:59.000000000
167672,330000,2013-01-03D13:59:59.000000000
167672,350000,2013-01-03D14:59:59.000000000
167672,320000,2013-01-03D15:59:59.000000000
167672,390000,2013-01-03D16:59:59.000000000
167672,430000,2013-01-03D17:59:59.000000000
167672,540000,2013-01-03D18:59:59.000000000
167672,970000,2013-01-03D19:59:59.000000000
167672,720000,2013-01-03D20:59:59.000000000
167672,780000,2013-01-03D21:59:59.000000000
167672,580000,2013-01-03D22:59:59.000000000
167672,340000,2013-01-03D23:59:59.000000000
167672,250000,2013-01-04D00:59:59.000000000
167672,290000,2013-01-04D01:59:59.000000000
167672,330000,2013-01-04D02:59:59.000000000
167672,350000,2013-01-04D03:59:59.000000000
167672,310000,2013-01-04D04:59:59.000000000
167672,470000,2013-01-04D05:59:59.000000000
167672,470000,2013-01-04D06:59:59.000000000
167672,350000,2013-01-04D07:59:59.000000000
167672,250000,2013-01-04D08:59:59.000000000
167672,320000,2013-01-04D09:59:59.000000000
167672,310000,2013-01-04D10:59:59.000000000
167672,290000,2013-01-04D11:59:59.000000000
167672,340000,2013-01-04D12:59:59.000000000
167672,340000,2013-01-04D13:59:59.000000000
167672,320000,2013-01-04D14:59:59.000000000
167672,370000,2013-01-04D15:59:59.000000000
167672,350000,2013-01-04D16:59:59.000000000
167672,440000,2013-01-04D17:59:59.000000000
167672,1130000,2013-01-04D18:59:59.000000000
167672,1470000,2013-01-04D19:59:59.000000000
167672,770000,2013-01-04D20:59:59.000000000
167672,610000,2013-01-04D21:59:59.000000000
167672,570000,2013-01-04D22:59:59.000000000
167672,460000,2013-01-04D23:59:59.000000000
167487,150000,2013-01-01D00:59:59.000000000
167487,150000,2013-01-01D01:59:59.000000000
167487,310000,2013-01-01D02:59:59.000000000
167487,140000,2013-01-01D03:59:59.000000000
167487,180000,2013-01-01D04:59:59.000000000
167487,330000,2013-01-01D05:59:59.000000000
167487,610000,2013-01-01D06:59:59.000000000
167487,380000,2013-01-01D07:59:59.000000000
167487,330000,2013-01-01D08:59:59.000000000
167487,310000,2013-01-01D09:59:59.000000000
167487,380000,2013-01-01D10:59:59.000000000
167487,430000,2013-01-01D11:59:59.000000000
167487,360000,2013-01-01D12:59:59.000000000
167487,400000,2013-01-01D13:59:59.000000000
167487,300000,2013-01-01D14:59:59.000000000
167487,710000,2013-01-01D15:59:59.000000000
167487,890000,2013-01-01D16:59:59.000000000
167487,870000,2013-01-01D17:59:59.000000000
167487,870000,2013-01-01D18:59:59.000000000
167487,740000,2013-01-01D19:59:59.000000000
167487,870000,2013-01-01D20:59:59.000000000
167487,560000,2013-01-01D21:59:59.000000000
167487,140000,2013-01-01D22:59:59.000000000
167487,120000,2013-01-01D23:59:59.000000000
167487,130000,2013-01-02D00:59:59.000000000
167487,130000,2013-01-02D01:59:59.000000000
167487,200000,2013-01-02D02:59:59.000000000
167487,350000,2013-01-02D03:59:59.000000000
167487,320000,2013-01-02D04:59:59.000000000
167487,330000,2013-01-02D05:59:59.000000000
167487,640000,2013-01-02D06:59:59.000000000
167487,430000,2013-01-02D07:59:59.000000000
167487,350000,2013-01-02D08:59:59.000000000
167487,310000,2013-01-02D09:59:59.000000000
167487,290000,2013-01-02D10:59:59.000000000
167487,280000,2013-01-02D11:59:59.000000000
167487,210000,2013-01-02D12:59:59.000000000
167487,190000,2013-01-02D13:59:59.000000000
167487,220000,2013-01-02D14:59:59.000000000
167487,360000,2013-01-02D15:59:59.000000000
167487,590000,2013-01-02D16:59:59.000000000
167487,970000,2013-01-02D17:59:59.000000000
167487,820000,2013-01-02D18:59:59.000000000
167487,580000,2013-01-02D19:59:59.000000000
167487,560000,2013-01-02D20:59:59.000000000
167487,360000,2013-01-02D21:59:59.000000000
167487,210000,2013-01-02D22:59:59.000000000
167487,120000,2013-01-02D23:59:59.000000000
167487,130000,2013-01-03D00:59:59.000000000
167487,130000,2013-01-03D01:59:59.000000000
167487,120000,2013-01-03D02:59:59.000000000
167487,310000,2013-01-03D03:59:59.000000000
167487,340000,2013-01-03D04:59:59.000000000
167487,450000,2013-01-03D05:59:59.000000000
167487,610000,2013-01-03D06:59:59.000000000
167487,480000,2013-01-03D07:59:59.000000000
167487,350000,2013-01-03D08:59:59.000000000
167487,320000,2013-01-03D09:59:59.000000000
167487,320000,2013-01-03D10:59:59.000000000
167487,350000,2013-01-03D11:59:59.000000000
167487,290000,2013-01-03D12:59:59.000000000
167487,290000,2013-01-03D13:59:59.000000000
167487,260000,2013-01-03D14:59:59.000000000
167487,430000,2013-01-03D15:59:59.000000000
167487,780000,2013-01-03D16:59:59.000000000
167487,630000,2013-01-03D17:59:59.000000000
167487,690000,2013-01-03D18:59:59.000000000
167487,630000,2013-01-03D19:59:59.000000000
167487,810000,2013-01-03D20:59:59.000000000
167487,620000,2013-01-03D21:59:59.000000000
167487,140000,2013-01-03D22:59:59.000000000
167487,130000,2013-01-03D23:59:59.000000000
167487,140000,2013-01-04D00:59:59.000000000
167487,130000,2013-01-04D01:59:59.000000000
167487,130000,2013-01-04D02:59:59.000000000
167487,120000,2013-01-04D03:59:59.000000000
167487,320000,2013-01-04D04:59:59.000000000
167487,320000,2013-01-04D05:59:59.000000000
167487,640000,2013-01-04D06:59:59.000000000
167487,520000,2013-01-04D07:59:59.000000000
167487,360000,2013-01-04D08:59:59.000000000
167487,330000,2013-01-04D09:59:59.000000000
167487,290000,2013-01-04D10:59:59.000000000
167487,260000,2013-01-04D11:59:59.000000000
167487,190000,2013-01-04D12:59:59.000000000
167487,290000,2013-01-04D13:59:59.000000000
167487,300000,2013-01-04D14:59:59.000000000
167487,440000,2013-01-04D15:59:59.000000000
167487,680000,2013-01-04D16:59:59.000000000
167487,740000,2013-01-04D17:59:59.000000000
167487,950000,2013-01-04D18:59:59.000000000
167487,870000,2013-01-04D19:59:59.000000000
167487,680000,2013-01-04D20:59:59.000000000
167487,560000,2013-01-04D21:59:59.000000000
167487,220000,2013-01-04D22:59:59.000000000
167487,120000,2013-01-04D23:59:59.000000000
153094,2450000,2013-01-01D00:59:59.000000000
153094,2190000,2013-01-01D01:59:59.000000000
153094,1900000,2013-01-01D02:59:59.000000000
153094,2030000,2013-01-01D03:59:59.000000000
153094,1880000,2013-01-01D04:59:59.000000000
153094,2100000,2013-01-01D05:59:59.000000000
153094,2020000,2013-01-01D06:59:59.000000000
153094,1850000,2013-01-01D07:59:59.000000000
153094,2170000,2013-01-01D08:59:59.000000000
153094,2390000,2013-01-01D09:59:59.000000000
153094,2590000,2013-01-01D10:59:59.000000000
153094,3440000,2013-01-01D11:59:59.000000000
153094,3870000,2013-01-01D12:59:59.000000000
153094,3850000,2013-01-01D13:59:59.000000000
153094,2300000,2013-01-01D14:59:59.000000000
153094,2280000,2013-01-01D15:59:59.000000000
153094,3290000,2013-01-01D16:59:59.000000000
153094,4120000,2013-01-01D17:59:59.000000000
153094,3600000,2013-01-01D18:59:59.000000000
153094,4070000,2013-01-01D19:59:59.000000000
153094,3340000,2013-01-01D20:59:59.000000000
153094,3160000,2013-01-01D21:59:59.000000000
153094,2610000,2013-01-01D22:59:59.000000000
153094,2370000,2013-01-01D23:59:59.000000000
153094,2210000,2013-01-02D00:59:59.000000000
153094,2100000,2013-01-02D01:59:59.000000000
153094,2340000,2013-01-02D02:59:59.000000000
153094,2150000,2013-01-02D03:59:59.000000000
153094,2100000,2013-01-02D04:59:59.000000000
153094,2300000,2013-01-02D05:59:59.000000000
153094,2920000,2013-01-02D06:59:59.000000000
153094,2580000,2013-01-02D07:59:59.000000000
153094,2710000,2013-01-02D08:59:59.000000000
153094,2180000,2013-01-02D09:59:59.000000000
153094,1650000,2013-01-02D10:59:59.000000000
153094,1860000,2013-01-02D11:59:59.000000000
153094,2410000,2013-01-02D12:59:59.000000000
153094,2190000,2013-01-02D13:59:59.000000000
153094,1830000,2013-01-02D14:59:59.000000000
153094,1980000,2013-01-02D15:59:59.000000000
153094,2110000,2013-01-02D16:59:59.000000000
153094,4270000,2013-01-02D17:59:59.000000000
153094,3180000,2013-01-02D18:59:59.000000000
153094,3180000,2013-01-02D19:59:59.000000000
153094,3150000,2013-01-02D20:59:59.000000000
153094,3430000,2013-01-02D21:59:59.000000000
153094,3070000,2013-01-02D22:59:59.000000000
153094,3210000,2013-01-02D23:59:59.000000000
153094,5180000,2013-01-03D00:59:59.000000000
153094,2330000,2013-01-03D01:59:59.000000000
153094,2220000,2013-01-03D02:59:59.000000000
153094,2130000,2013-01-03D03:59:59.000000000
153094,2400000,2013-01-03D04:59:59.000000000
153094,2260000,2013-01-03D05:59:59.000000000
153094,2270000,2013-01-03D06:59:59.000000000
153094,3590000,2013-01-03D07:59:59.000000000
153094,2480000,2013-01-03D08:59:59.000000000
153094,2080000,2013-01-03D09:59:59.000000000
153094,1880000,2013-01-03D10:59:59.000000000
153094,1750000,2013-01-03D11:59:59.000000000
153094,1700000,2013-01-03D12:59:59.000000000
153094,1430000,2013-01-03D13:59:59.000000000
153094,1590000,2013-01-03D14:59:59.000000000
153094,2230000,2013-01-03D15:59:59.000000000
153094,2410000,2013-01-03D16:59:59.000000000
153094,2970000,2013-01-03D17:59:59.000000000
153094,3550000,2013-01-03D18:59:59.000000000
153094,3670000,2013-01-03D19:59:59.000000000
153094,3600000,2013-01-03D20:59:59.000000000
153094,3580000,2013-01-03D21:59:59.000000000
153094,2680000,2013-01-03D22:59:59.000000000
153094,2220000,2013-01-03D23:59:59.000000000
153094,1900000,2013-01-04D00:59:59.000000000
153094,1950000,2013-01-04D01:59:59.000000000
153094,2250000,2013-01-04D02:59:59.000000000
153094,2400000,2013-01-04D03:59:59.000000000
153094,2650000,2013-01-04D04:59:59.000000000
153094,2170000,2013-01-04D05:59:59.000000000
153094,2220000,2013-01-04D06:59:59.000000000
153094,2310000,2013-01-04D07:59:59.000000000
153094,2790000,2013-01-04D08:59:59.000000000
153094,3000000,2013-01-04D09:59:59.000000000
153094,1840000,2013-01-04D10:59:59.000000000
153094,1900000,2013-01-04D11:59:59.000000000
153094,2050000,2013-01-04D12:59:59.000000000
153094,2140000,2013-01-04D13:59:59.000000000
153094,2200000,2013-01-04D14:59:59.000000000
153094,2070000,2013-01-04D15:59:59.000000000
153094,2350000,2013-01-04D16:59:59.000000000
153094,3140000,2013-01-04D17:59:59.000000000
153094,3210000,2013-01-04D18:59:59.000000000
153094,3520000,2013-01-04D19:59:59.000000000
153094,3330000,2013-01-04D20:59:59.000000000
153094,3050000,2013-01-04D21:59:59.000000000
153094,2830000,2013-01-04D22:59:59.000000000
153094,2740000,2013-01-04D23:59:59.000000000
196892,1160000,2013-01-01D00:59:59.000000000
196892,1070000,2013-01-01D01:59:59.000000000
196892,910000,2013-01-01D02:59:59.000000000
196892,400000,2013-01-01D03:59:59.000000000
196892,470000,2013-01-01D04:59:59.000000000
196892,450000,2013-01-01D05:59:59.000000000
196892,420000,2013-01-01D06:59:59.000000000
196892,450000,2013-01-01D07:59:59.000000000
196892,430000,2013-01-01D08:59:59.000000000
196892,500000,2013-01-01D09:59:59.000000000
196892,440000,2013-01-01D10:59:59.000000000
196892,1510000,2013-01-01D11:59:59.000000000
196892,1900000,2013-01-01D12:59:59.000000000
196892,770000,2013-01-01D13:59:59.000000000
196892,1610000,2013-01-01D14:59:59.000000000
196892,870000,2013-01-01D15:59:59.000000000
196892,670000,2013-01-01D16:59:59.000000000
196892,720000,2013-01-01D17:59:59.000000000
196892,870000,2013-01-01D18:59:59.000000000
196892,1090000,2013-01-01D19:59:59.000000000
196892,1330000,2013-01-01D20:59:59.000000000
196892,1380000,2013-01-01D21:59:59.000000000
196892,1430000,2013-01-01D22:59:59.000000000
196892,1410000,2013-01-01D23:59:59.000000000
196892,460000,2013-01-02D00:59:59.000000000
196892,420000,2013-01-02D01:59:59.000000000
196892,450000,2013-01-02D02:59:59.000000000
196892,440000,2013-01-02D03:59:59.000000000
196892,390000,2013-01-02D04:59:59.000000000
196892,430000,2013-01-02D05:59:59.000000000
196892,400000,2013-01-02D06:59:59.000000000
196892,420000,2013-01-02D07:59:59.000000000
196892,600000,2013-01-02D08:59:59.000000000
196892,570000,2013-01-02D09:59:59.000000000
196892,490000,2013-01-02D10:59:59.000000000
196892,480000,2013-01-02D11:59:59.000000000
196892,760000,2013-01-02D12:59:59.000000000
196892,480000,2013-01-02D13:59:59.000000000
196892,650000,2013-01-02D14:59:59.000000000
196892,350000,2013-01-02D15:59:59.000000000
196892,400000,2013-01-02D16:59:59.000000000
196892,650000,2013-01-02D17:59:59.000000000
196892,660000,2013-01-02D18:59:59.000000000
196892,560000,2013-01-02D19:59:59.000000000
196892,700000,2013-01-02D20:59:59.000000000
196892,1770000,2013-01-02D21:59:59.000000000
196892,3410000,2013-01-02D22:59:59.000000000
196892,650000,2013-01-02D23:59:59.000000000
196892,490000,2013-01-03D00:59:59.000000000
196892,440000,2013-01-03D01:59:59.000000000
196892,560000,2013-01-03D02:59:59.000000000
196892,310000,2013-01-03D03:59:59.000000000
196892,440000,2013-01-03D04:59:59.000000000
196892,400000,2013-01-03D05:59:59.000000000
196892,340000,2013-01-03D06:59:59.000000000
196892,480000,2013-01-03D07:59:59.000000000
196892,570000,2013-01-03D08:59:59.000000000
196892,740000,2013-01-03D09:59:59.000000000
196892,1200000,2013-01-03D10:59:59.000000000
196892,1410000,2013-01-03D11:59:59.000000000
196892,1040000,2013-01-03D12:59:59.000000000
196892,890000,2013-01-03D13:59:59.000000000
196892,1030000,2013-01-03D14:59:59.000000000
196892,1040000,2013-01-03D15:59:59.000000000
196892,480000,2013-01-03D16:59:59.000000000
196892,670000,2013-01-03D17:59:59.000000000
196892,1010000,2013-01-03D18:59:59.000000000
196892,1360000,2013-01-03D19:59:59.000000000
196892,1070000,2013-01-03D20:59:59.000000000
196892,1160000,2013-01-03D21:59:59.000000000
196892,980000,2013-01-03D22:59:59.000000000
196892,590000,2013-01-03D23:59:59.000000000
196892,370000,2013-01-04D00:59:59.000000000
196892,950000,2013-01-04D01:59:59.000000000
196892,550000,2013-01-04D02:59:59.000000000
196892,390000,2013-01-04D03:59:59.000000000
196892,450000,2013-01-04D04:59:59.000000000
196892,380000,2013-01-04D05:59:59.000000000
196892,410000,2013-01-04D06:59:59.000000000
196892,370000,2013-01-04D07:59:59.000000000
196892,430000,2013-01-04D08:59:59.000000000
196892,500000,2013-01-04D09:59:59.000000000
196892,1020000,2013-01-04D10:59:59.000000000
196892,1020000,2013-01-04D11:59:59.000000000
196892,600000,2013-01-04D12:59:59.000000000
196892,790000,2013-01-04D13:59:59.000000000
196892,880000,2013-01-04D14:59:59.000000000
196892,2960000,2013-01-04D15:59:59.000000000
196892,2230000,2013-01-04D16:59:59.000000000
196892,1100000,2013-01-04D17:59:59.000000000
196892,1420000,2013-01-04D18:59:59.000000000
196892,900000,2013-01-04D19:59:59.000000000
196892,950000,2013-01-04D20:59:59.000000000
196892,750000,2013-01-04D21:59:59.000000000
196892,1070000,2013-01-04D22:59:59.000000000
196892,480000,2013-01-04D23:59:59.000000000
167672,390000,2013-01-06D00:59:59.000000000
167672,260000,2013-01-06D01:59:59.000000000
167672,230000,2013-01-06D02:59:59.000000000
167672,250000,2013-01-06D03:59:59.000000000
167672,300000,2013-01-06D04:59:59.000000000
167672,310000,2013-01-06D05:59:59.000000000
167672,370000,2013-01-06D06:59:59.000000000
