ts,temperature,dew_point,rel_humidity,wind_dir,wind_speed,visibility,stn_pressure,humidex,wind_chill,notes
2013-01-01D00:00:00.000000000,-1.2,-7.6,62,290,28,19.3,99.16,,-8,Cloudy
2013-01-01D01:00:00.000000000,-2.3,-9.2,59,300,28,19.3,99.13,,-9,Mostly Cloudy
2013-01-01D02:00:00.000000000,-2.6,-9.6,59,290,24,19.3,99.21,,-9,Mostly Cloudy
2013-01-01D03:00:00.000000000,-3.1,-10.5,57,300,24,19.3,99.29,,-10,Mostly Cloudy
2013-01-01D04:00:00.000000000,-3.2,-10.3,58,290,28,19.3,99.29,,-10,Mostly Cloudy
2013-01-01D05:00:00.000000000,-3.6,-9.9,62,280,22,24.1,99.29,,-10,Mostly Cloudy
2013-01-01D06:00:00.000000000,-3.8,-9.3,66,300,20,24.1,99.36,,-10,Mostly Cloudy
2013-01-01D07:00:00.000000000,-4.6,-9.8,67,330,22,19.3,99.43,,-11,Snow Showers
2013-01-01D08:00:00.000000000,-5.4,-11.5,62,340,24,24.1,99.45,,-13,Cloudy
2013-01-01D09:00:00.000000000,-6.2,-12.4,61,340,22,24.1,99.6,,-13,Mostly Cloudy
2013-01-01D10:00:00.000000000,-6.8,-14.6,54,320,22,24.1,99.66,,-14,Mainly Clear
2013-01-01D11:00:00.000000000,-7.3,-12.8,65,360,15,24.1,99.69,,-13,Mainly Clear
2013-01-01D12:00:00.000000000,-7.2,-12.8,64,20,15,24.1,99.65,,-13,Mainly Clear
2013-01-01D13:00:00.000000000,-6.4,-12.9,60,310,7,24.1,99.57,,-10,Mainly Clear
2013-01-01D14:00:00.000000000,-6.2,-13.3,57,360,11,24.1,99.48,,-11,Mainly Clear
2013-01-01D15:00:00.000000000,-5.7,-14,52,290,11,24.1,99.51,,-10,Mainly Clear
2013-01-01D16:00:00.000000000,-6.1,-15.3,48,280,13,24.1,99.54,,-11,Mainly Clear
2013-01-01D17:00:00.000000000,-7,-16.6,46,290,13,24.1,99.57,,-13,Mainly Clear
2013-01-01D18:00:00.000000000,-8.1,-16.7,50,290,9,24.1,99.64,,-13,Mainly Clear
2013-01-01D19:00:00.000000000,-8.3,-17.4,48,280,9,24.1,99.64,,-13,Mainly Clear
2013-01-01D20:00:00.000000000,-10,-16.3,60,270,9,24.1,99.59,,-15,Mainly Clear
2013-01-01D21:00:00.000000000,-7.7,-12.9,66,270,19,24.1,99.57,,-15,Mostly Cloudy
2013-01-01D22:00:00.000000000,-7.7,-12.3,70,250,13,24.1,99.56,,-13,Mostly Cloudy
2013-01-01D23:00:00.000000000,-6.9,-11.1,72,240,11,24.1,99.56,,-12,Snow Showers
2013-01-02D00:00:00.000000000,-6.3,-10.7,71,210,15,19.3,99.53,,-12,Snow Showers
2013-01-02D01:00:00.000000000,-6.4,-10.6,72,210,11,19.3,99.48,,-11,Snow Showers
2013-01-02D02:00:00.000000000,-6.7,-10.6,74,190,11,19.3,99.42,,-12,Snow Showers
2013-01-02D03:00:00.000000000,-6.9,-11.3,71,200,15,19.3,99.43,,-13,Snow Showers
2013-01-02D04:00:00.000000000,-7.2,-11.6,71,210,11,24.1,99.44,,-12,Cloudy
2013-01-02D05:00:00.000000000,-6.8,-10.9,73,230,13,24.1,99.42,,-12,Snow Showers
2013-01-02D06:00:00.000000000,-6.1,-10.3,72,250,19,19.3,99.48,,-13,Snow Showers
2013-01-02D07:00:00.000000000,-5.9,-10,73,250,22,24.1,99.5,,-13,Snow Showers
2013-01-02D08:00:00.000000000,-5.9,-10.1,72,250,24,24.1,99.55,,-13,Snow Showers
2013-01-02D09:00:00.000000000,-5.7,-9.6,74,260,28,24.1,99.58,,-14,Mainly Clear
2013-01-02D10:00:00.000000000,-4.9,-9.2,72,260,24,24.1,99.65,,-12,Mainly Clear
